,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
,,,,MAX,6,,1,,7.5,,1,,,7.5,,1,,6.5,,0.15,,3.5,,0.0001,,,
,,,,MIN,3,,0.02,,6,,0.01,,,4.5,,0.01,,3,,0,,0,,0,,,
CRISIS,DRIVERS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,,,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,4.7,1.000965916931144,5,4.85,5,1,5,5,4.9,5,1,5,5,5,0.5149438202247191,5,5,4.7,4.29438202247191e-05,2.1,3.4,4.4,4.7
Earthquake in Herat Province,Earthquake,AFG006,Afghanistan,AFG,2.9,0.08398571056222498,0.3,1.5999999999999999,1.8,0.07865168539325842,0.3,1.05,1.3,2.8,0.45714285714285713,2.3,2.55,0,0,0,0,4.5,0.00092625,5,4.8,3.2,2.9
Drought in South-West Angola,Drought,AGO002,Angola,AGO,5,1,5,5,1.5,0.07971014492753623,0.4,0.95,3.7,3.1,0.8243636363636364,4.1,3.5999999999999996,0,0,0,0,0,0,0,0,0,2.2
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,2,0.581524411661398,2.9,2.45,1.1,0.695247270391779,3.5,2.3,2.4,1.6,0.1394919168591224,0.7,1.15,3.1,0.4966887417218543,5,4.1,1,1.6556291390728477e-05,0.8,0.9,2.9,2.1
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,2,0.19912885662431942,0.9,1.45,0,0.08957165732586068,0.4,0.2,0.9,1.4,0.23016759776536314,1.1,1.25,3.1,0.6893203883495146,5,4.1,0,0,0,0,2.6,2
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,2.3,1,5,3.65,3.6,1,5,4.3,4,3.9,0.5526080234355928,2.7,3.3,4,0.08776321602120453,2.9,3.5,3.1,2.0321013105580915e-05,1,2.1,2.9,3.1
Conflict in northern region,"Conflict,Displacement,Violence",BEN002,Benin,BEN,2.8,0.42242816601631783,2.1,2.45,1.1,0.15437956204379563,0.7,0.9,1.7,1.6,0.14562647754137115,0.7,1.15,2,0.08116883116883117,2.7,2.4,3,0.0003896103896103896,5,4,3.3,2.4
