,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,0.9,2.3,0.3,0,1.9,20.2,0,Very High
AFG006,1.6,1.8,1.2,1.7,1.7,89.2,1,High
AGO002,2.3,1.8,5,0,1.7,528.8,0,Medium
ARM002,0.9,2.5,0.3,0,2,19.5,0,Very High
AZE002,2.5,3.8,2,1.7,2.5,149.8,1,Medium
BDI001,0.8,2,0.3,0,1.8,19.5,0,Very High
BEN002,0.3,0.3,0.6,0,1.1,45.9,0,Very High
BFA002,0.5,1,0.6,0,1.4,44.3,0,Very High
BGD001,0.4,1,0.1,0,1.4,7.3,0,Very High
BGD002,0.4,1,0.1,0,1.4,7.3,0,Very High
BGD012,0.4,1,0.1,0,1.4,7.3,0,Very High
BGR002,0.9,2,0.6,0,1.8,41.9,0,Very High
BLR002,1,2.3,0.6,0,1.9,41.9,0,Very High
BRA001,0.8,2,0.3,0,1.8,20.7,0,Very High
BRA002,0.9,2.5,0.3,0,2,20.7,0,Very High
BRA004,1.9,3.8,0.3,1.7,2.5,20.7,1,High
CAF001,0.7,1.8,0.4,0,1.7,27.4,0,Very High
CHL002,0.8,1.8,0.6,0,1.7,45.7,0,Very High
CMR001,0.8,1.8,0.5,0,1.7,37.1,0,Very High
CMR002,0.7,1.5,0.5,0,1.6,37.1,0,Very High
CMR003,0.7,1.5,0.5,0,1.6,37.1,0,Very High
CMR004,0.8,1.8,0.5,0,1.7,37.1,0,Very High
COD001,0.7,1.8,0.4,0,1.7,27.4,0,Very High
COG001,0.8,1.8,0.5,0,1.7,37.1,0,Very High
COL001,0.9,2,0.8,0,1.8,56.4,0,Very High
COL002,1,2.3,0.8,0,1.9,56.4,0,Very High
CRI002,1.7,3.5,1.7,0,2.4,127.5,0,High
CZE002,1,2.3,0.6,0,1.9,41.9,0,Very High
DJI001,1.1,2.3,1,0,1.9,73.7,0,High
DJI002,1,2,1,0,1.8,73.7,0,Very High
DJI003,1.1,2.3,1,0,1.9,73.7,0,High
DOM002,2,2.3,0.3,3.3,1.9,20.4,2,High
DZA002,1.6,3.5,1.2,0,2.4,86.2,0,High
DZA003,1.8,4.3,1.2,0,2.7,86.2,0,High
DZA004,1.6,3.5,1.3,0,2.4,93.9,0,High
ECU002,1,2.3,0.6,0,1.9,46.4,0,Very High
EGY004,1.6,2.5,0.7,1.7,2,50.2,1,High
ERI001,1.5,3.3,1.3,0,2.3,93.8,0,High
ESP002,1.8,2.5,1.2,1.7,2,87,1,High
EST002,1,2.3,0.6,0,1.9,41.9,0,Very High
ETH001,0.9,2.5,0.3,0,2,23.1,0,Very High
ETH003,1.9,3,1,1.7,2.2,75.9,1,High
ETH004,1.2,3.3,0.3,0,2.3,23.1,0,High
ETH005,1.2,2.5,1,0,2,75.9,0,High
GRC002,0.9,2.5,0.2,0,2,18.6,0,Very High
GTM001,1.2,2.8,0.8,0,2.1,56.9,0,High
HND001,1.5,3.8,0.8,0,2.5,56.4,0,High
HTI001,1.3,3,0.8,0,2.2,56.4,0,High
HUN002,0.9,2.3,0.5,0,1.9,40.3,0,Very High
IDN002,1.1,3,0.3,0,2.2,22.2,0,High
IRN004,3.7,4,3.9,3.3,2.6,282.7,2,Low
IRQ001,0.8,2.3,0.2,0,1.9,18.6,0,Very High
IRQ002,0.9,2.5,0.2,0,2,18.6,0,Very High
IRQ003,0.8,2,0.5,0,1.8,36.9,0,Very High
ITA002,1.7,2.3,1.2,1.7,1.9,87,1,High
JOR002,1.4,3.8,0.3,0,2.5,20.4,0,High
KEN001,1.3,3.5,0.4,0,2.4,31.6,0,High
KEN002,1.3,2,0.3,1.7,1.8,19.5,1,High
KEN003,0.9,2.3,0.3,0,1.9,19.5,0,Very High
LBN002,1.4,2,2.3,0,1.8,165.5,0,High
LBN006,0.7,2,0,0,1.8,1,0,Very High
LBY001,1,2.3,0.6,0,1.9,47.4,0,Very High
LBY002,1.1,2,1.2,0,1.8,89.6,0,High
LBY003,0.8,1.8,0.6,0,1.7,47.5,0,Very High
LKA002,1.3,1.8,0.3,1.7,1.7,22.2,1,High
LTU002,1,2.3,0.6,0,1.9,41.9,0,Very High
LVA002,1,2.3,0.6,0,1.9,41.9,0,Very High
MAR001,1.5,3.8,0.6,0,2.5,44.5,0,High
MAR002,1.7,4,1.2,0,2.6,86.7,0,High
MAR003,1.2,3,0.6,0,2.2,44.5,0,High
MDA002,0.8,2,0.5,0,1.8,40.3,0,Very High
MDG001,0.6,1.8,0,0,1.7,0.9,0,Very High
MDG002,0.8,2.3,0.2,0,1.9,18.7,0,Very High
MDG009,0.8,2.3,0,0,1.9,0.9,0,Very High
MEX001,1.4,4,0.3,0,2.6,20.4,0,High
MEX002,1.4,3.8,0.3,0,2.5,20.4,0,High
MEX003,1.4,3.8,0.3,0,2.5,20.4,0,High
MLI001,0.2,0.3,0.3,0,1.1,20.8,0,Very High
MMR001,0.7,1.8,0.3,0,1.7,22.2,0,Very High
MMR002,0.7,1.8,0.3,0,1.7,22.2,0,Very High
MMR003,0.7,1.8,0.3,0,1.7,22.2,0,Very High
MMR004,0.7,1.8,0.3,0,1.7,22.2,0,Very High
MNG004,0.7,2,0.2,0,1.8,12.8,0,Very High
MOZ001,0.9,2.5,0.1,0,2,8.8,0,Very High
MOZ004,1.1,3,0.3,0,2.2,23,0,High
MOZ011,0.8,2.3,0.1,0,1.9,8.8,0,Very High
MRT002,0.7,1.3,0.8,0,1.5,58.9,0,Very High
MRT003,1.1,0.8,0.9,1.7,1.3,69.7,1,High
MWI002,0.9,1.8,0.8,0,1.7,58.5,0,Very High
MYS001,0.9,2.5,0.3,0,2,22.2,0,Very High
NAM002,2.4,1.5,3.9,1.7,1.6,281.7,1,Medium
NER001,0.6,1.5,0.3,0,1.6,22.6,0,Very High
NER002,0.6,1.5,0.3,0,1.6,22.6,0,Very High
NER003,0.6,1.5,0.3,0,1.6,22.6,0,Very High
NER004,0.6,1.5,0.3,0,1.6,22.6,0,Very High
NGA001,1.4,4,0.3,0,2.6,23.7,0,High
NGA003,0.9,2.3,0.3,0,1.9,19.7,0,Very High
NGA004,1.1,3,0.3,0,2.2,19.7,0,High
NGA007,1.3,3.5,0.3,0,2.4,19.6,0,High
NGA008,1.4,2.3,0.3,1.7,1.9,19.6,1,High
NIC001,1.5,2.5,0.3,1.7,2,20.4,1,High
NPL003,0.8,2,0.3,0,1.8,22.2,0,Very High
PAK001,1.6,1.8,3,0,1.7,215.8,0,High
PAK004,2.6,1.3,3.2,3.3,1.5,232.4,2,Medium
PAK005,1.3,2.5,1.5,0,2,110.7,0,High
PAN002,0.9,2.5,0.3,0,2,20.4,0,Very High
PER002,1,2.3,0.6,0,1.9,46.5,0,Very High
PHL003,1.2,3.3,0.3,0,2.3,22.2,0,High
PNG003,0.8,2,0.3,0,1.8,22.2,0,Very High
POL002,0.8,2,0.5,0,1.8,40.3,0,Very High
PRK001,2.8,3.5,5,0,2.4,434.3,0,Medium
PSE002,0.7,2,0.2,0,1.8,18.6,0,Very High
PSE003,0.4,1,0.2,0,1.4,18.6,0,Very High
PSE004,0.6,1.5,0.2,0,1.6,18.6,0,Very High
REG001,1.1,0.3,3,0,1.1,216.4,0,High
REG002,2.6,2.8,5,0,2.1,612.2,0,Medium
REG004,1.8,2.5,2.8,0,2,202.3,0,High
REG006,1,2.8,0.2,0,2.1,18.6,0,Very High
REG007,1.7,2.3,1.1,1.7,1.9,83.6,1,High
REG008,1.7,2.3,1.1,1.7,1.9,83.6,1,High
REG011,0.7,1.8,0.3,0,1.7,21.3,0,Very High
REG012,0.6,1.5,0.2,0,1.6,18.6,0,Very High
REG013,1.3,2.5,1.3,0,2,98.2,0,High
REG014,1.2,2.3,1.4,0,1.9,100.8,0,High
REG015,2.3,4,2.9,0,2.6,214.3,0,Medium
ROU002,0.9,2.3,0.5,0,1.9,40.3,0,Very High
RUS002,1.4,3.8,0.5,0,2.5,40.4,0,High
RWA002,2.1,2.8,0.3,3.3,2.1,19.5,2,Medium
SDN001,1.1,3,0.3,0,2.2,19.3,0,High
SDN005,0.6,1.5,0.3,0,1.6,19.3,0,Very High
SEN002,1,0.3,2.7,0,1.1,197.1,0,Very High
SLV001,1.1,2.5,0.8,0,2,56.7,0,High
SOM001,0.8,2,0.3,0,1.8,23.7,0,Very High
SOM002,0.9,2.5,0.3,0,2,19.5,0,Very High
SSD001,0.9,2.5,0.3,0,2,19.5,0,Very High
SVK002,0.9,2.3,0.5,0,1.9,40.3,0,Very High
SWZ001,1.4,2.3,0.2,1.7,1.9,18.9,1,High
SYR001,1,2.5,0.4,0,2,27.6,0,Very High
SYR002,1.8,3,0.7,1.7,2.2,52.8,1,High
TCD001,0.8,2,0.4,0,1.8,26.8,0,Very High
TCD003,0.7,1.8,0.4,0,1.7,26.8,0,Very High
TCD004,0.7,1.8,0.4,0,1.7,26.8,0,Very High
TCD005,0.7,1.8,0.4,0,1.7,26.8,0,Very High
TGO002,0.3,0.3,0.6,0,1.1,45.9,0,Very High
THA003,0.8,2,0.3,0,1.8,21.9,0,Very High
TLS003,0.2,0.3,0.3,0,1.1,22.2,0,Very High
TTO002,0.9,2,0.6,0,1.8,46.4,0,Very High
TUN002,1.8,2.5,1.2,1.7,2,86.8,1,High
TUR001,0.9,2.3,0.3,0,1.9,24,0,Very High
TUR002,1.4,2.3,0.3,1.7,1.9,24,1,High
TUR003,0.9,2.5,0.3,0,2,24,0,Very High
TUR004,2.7,x,2,3.3,x,145.5,2,Medium
TUR005,1.4,4,0.3,0,2.6,23.6,0,High
TZA001,1.1,2.5,0.8,0,2,58.3,0,High
TZA002,1.2,2.8,0.8,0,2.1,58.3,0,High
TZA003,1.2,1,2.5,0,1.4,180.2,0,High
UGA005,2.3,2.8,2.3,1.7,2.1,165,1,Medium
UKR002,1.1,2.8,0.6,0,2.1,46.6,0,High
VEN001,0.3,0.3,0.7,0,1.1,55.5,0,Very High
YEM001,1.1,3,0.2,0,2.2,18.6,0,High
YEM002,1,2.8,0.2,0,2.1,18.6,0,Very High
ZMB002,1.2,2,1.6,0,1.8,117.9,0,High
ZWE001,1.3,2.5,1.3,0,2,97.1,0,High
