,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,1,1,1,1,1,1,1,1,1,1,1,193,193,193,193,193,193,193,193,193,20.2,,
AFG006,43,43,43,43,183,43,43,43,43,43,215,193,193,193,193,193,193,193,193,193,89.2,,
AGO002,639,701,701,0,897,701,701,701,701,701,0,185,185,185,185,185,185,185,185,185,528.8,,
ARM002,1,1,1,1,1,1,1,1,1,1,1,186,186,186,186,186,186,186,186,186,19.5,,
AZE002,1,1,1,1,1,1,1,1,1,1,1304,186,186,186,186,186,186,186,186,186,149.8,,
BDI001,1,1,1,1,1,1,1,1,1,1,1,186,186,186,186,186,186,186,186,186,19.5,,
BEN002,49,49,49,49,49,49,49,49,49,49,49,18,18,18,18,18,18,18,18,18,45.9,,
BFA002,43,43,43,0,0,43,43,43,43,43,0,185,185,185,185,185,185,185,185,185,44.3,,
BGD001,4,4,4,4,4,4,4,4,4,4,4,37,37,37,37,37,37,37,37,37,7.3,,
BGD002,4,4,4,4,4,4,4,4,4,4,4,37,37,37,37,37,37,37,37,37,7.3,,
BGD012,4,4,4,4,4,4,4,4,4,4,4,37,37,37,37,37,37,37,37,37,7.3,,
BGR002,36,14,14,14,14,14,36,14,36,36,36,205,205,205,205,205,205,205,205,205,41.9,,
BLR002,36,14,14,14,14,14,36,14,36,36,36,205,205,205,205,205,205,205,205,205,41.9,,
BRA001,2,2,2,2,2,2,2,2,2,2,2,189,189,189,189,189,189,189,189,189,20.7,,
BRA002,2,2,2,2,2,2,2,2,2,2,2,189,189,189,189,189,189,189,189,189,20.7,,
BRA004,2,2,2,2,2,2,2,2,2,2,2,189,189,189,189,189,189,189,189,189,20.7,,
CAF001,15,15,15,0,0,15,15,15,15,15,0,184,184,184,184,184,184,184,184,184,27.4,,
CHL002,31,31,31,31,31,31,31,31,31,31,31,178,178,178,178,178,178,178,178,178,45.7,,
CMR001,43,31,31,0,0,31,31,31,31,31,0,185,185,185,185,185,185,185,185,185,37.1,,
CMR002,331,31,31,0,0,31,31,31,31,31,0,185,185,185,185,185,185,185,185,185,37.1,,
CMR003,331,31,31,0,0,31,31,31,31,31,0,185,185,185,185,185,185,185,185,185,37.1,,
CMR004,331,31,31,0,0,31,31,31,31,31,0,185,185,185,185,185,185,185,185,185,37.1,,
COD001,43,15,15,0,0,15,15,15,15,15,0,184,184,184,184,184,184,184,184,184,27.4,,
COG001,31,31,31,0,0,31,31,31,31,31,0,185,185,185,185,185,185,185,185,185,37.1,,
COL001,42,42,42,42,42,42,42,42,42,42,42,186,186,186,186,186,186,186,186,186,56.4,,
COL002,42,42,42,42,42,42,42,42,42,42,42,186,186,186,186,186,186,186,186,186,56.4,,
CRI002,121,121,121,121,121,121,121,121,121,121,121,186,186,186,186,186,186,186,186,186,127.5,,
CZE002,36,14,14,14,14,14,36,14,36,36,36,205,205,205,205,205,205,205,205,205,41.9,,
DJI001,0,0,0,0,0,0,0,0,0,0,550,187,187,187,187,187,187,187,187,187,73.7,,
DJI002,0,0,0,0,0,0,0,0,0,0,550,187,187,187,187,187,187,187,187,187,73.7,,
DJI003,0,0,0,0,0,0,0,0,0,0,550,187,187,187,187,187,187,187,187,187,73.7,,
DOM002,2,2,2,2,2,2,2,2,2,2,2,186,186,186,186,186,186,186,186,186,20.4,,
DZA002,336,0,0,0,0,0,0,0,0,0,670,192,192,192,192,192,192,192,192,192,86.2,,
DZA003,336,0,0,0,0,0,0,0,0,0,670,192,192,192,192,192,192,192,192,192,86.2,,
DZA004,336,0,0,0,0,0,0,0,0,0,747,192,192,192,192,192,192,192,192,192,93.9,,
ECU002,31,31,31,31,31,31,31,31,31,31,31,185,185,185,185,185,185,185,185,185,46.4,,
EGY004,310,0,0,0,0,0,0,0,0,0,310,192,192,192,192,192,192,192,192,192,50.2,,
ERI001,1,1,1,1,1,1,1,1,1,1,744,186,186,186,186,186,186,186,186,186,93.8,,
ESP002,670,0,0,0,0,0,0,0,0,0,670,200,200,200,200,200,200,200,200,200,87,,
EST002,36,14,14,14,14,14,36,14,36,36,36,205,205,205,205,205,205,205,205,205,41.9,,
ETH001,0,0,0,0,0,0,0,0,0,0,42,189,189,189,189,189,189,189,189,189,23.1,,
ETH003,0,0,0,0,528,0,0,0,0,0,42,189,189,189,189,189,189,189,189,189,75.9,,
ETH004,0,0,0,0,0,0,0,0,0,0,42,189,189,189,189,189,189,189,189,189,23.1,,
ETH005,0,0,0,0,528,0,0,0,0,0,42,189,189,189,189,189,189,189,189,189,75.9,,
GRC002,0,0,0,0,0,0,0,0,0,0,0,186,186,186,186,186,186,186,186,186,18.6,,
GTM001,42,42,42,42,42,42,42,42,42,42,42,191,191,191,191,191,191,191,191,191,56.9,,
HND001,42,42,42,42,42,42,42,42,42,42,42,186,186,186,186,186,186,186,186,186,56.4,,
HTI001,42,42,42,42,42,42,42,42,42,42,42,186,186,186,186,186,186,186,186,186,56.4,,
HUN002,36,14,14,14,14,14,36,14,36,36,36,189,189,189,189,189,189,189,189,189,40.3,,
IDN002,4,4,4,4,4,4,4,4,4,4,4,186,186,186,186,186,186,186,186,186,22.2,,
IRN004,1173,1173,458,458,92,92,92,92,92,92,1173,186,186,186,186,186,186,186,186,186,282.7,,
IRQ001,0,0,0,0,0,0,0,0,0,0,0,186,186,186,186,186,186,186,186,186,18.6,,
IRQ002,0,0,0,0,0,0,0,0,0,0,0,186,186,186,186,186,186,186,186,186,18.6,,
IRQ003,0,0,0,0,183,0,0,0,0,0,0,186,186,186,186,186,186,186,186,186,36.9,,
ITA002,670,0,0,0,0,0,0,0,0,0,670,200,200,200,200,200,200,200,200,200,87,,
JOR002,0,0,3,0,0,3,3,3,3,3,0,186,186,186,186,186,186,186,186,186,20.4,,
KEN001,1,1,1,1,122,1,1,1,1,1,1,186,186,186,186,186,186,186,186,186,31.6,,
KEN002,1,1,1,1,1,1,1,1,1,1,1,186,186,186,186,186,186,186,186,186,19.5,,
KEN003,1,1,1,1,1,1,1,1,1,1,1,186,186,186,186,186,186,186,186,186,19.5,,
LBN002,1,1,1,1,1,1,1,1,1,1,1456,191,191,191,191,191,191,191,191,191,165.5,,
LBN006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
LBY001,4,4,4,4,4,4,4,4,4,4,248,194,194,194,194,194,194,194,194,194,47.4,,
LBY002,4,4,4,4,4,4,4,4,4,4,670,194,194,194,194,194,194,194,194,194,89.6,,
