,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,0.4,1,0.3,0,1.4,22.8,0,Very High
AFG006,1.4,1.8,0.6,1.7,1.7,44.3,1,High
AGO002,2.3,1.8,5,0,1.7,455.2,0,Medium
ARM002,1,2.5,0.4,0,2,32.7,0,Very High
AZE002,2.4,3.8,1.8,1.7,2.5,131.4,1,Medium
BDI001,0.9,2,0.7,0,1.8,52.9,0,Very High
BFA002,0.8,0.3,2.1,0,1.1,152.7,0,Very High
BGD002,0.7,1.8,0.4,0,1.7,27.2,0,Very High
BGD010,0.6,1.5,0.3,0,1.6,21.6,0,Very High
BGR002,1.8,2,0.2,3.3,1.8,13.1,2,High
BLR002,0.8,2.3,0.2,0,1.9,13.1,0,Very High
BRA001,0.7,2,0.1,0,1.8,9.7,0,Very High
BRA002,0.8,2.3,0.1,0,1.9,9.7,0,Very High
BRA004,1.9,3.8,0.1,1.7,2.5,9.7,1,High
CAF001,1,2,1,0,1.8,77,0,Very High
CHL002,0.6,1.8,0.1,0,1.7,8.6,0,Very High
CMR001,0.9,1,1.6,0,1.4,118.5,0,Very High
CMR002,0.8,0.8,1.6,0,1.3,118.5,0,Very High
CMR003,0.9,1,1.6,0,1.4,118.5,0,Very High
CMR004,0.9,1,1.6,0,1.4,118.5,0,Very High
COD001,0.7,0.3,1.7,0,1.1,122,0,Very High
COG001,1.5,1.8,2.6,0,1.7,187.5,0,High
COL001,0.8,2,0.5,0,1.8,35.5,0,Very High
COL002,1,2.5,0.5,0,2,35.5,0,Very High
CRI002,1.3,3.5,0.5,0,2.4,35.5,0,High
CZE002,0.8,2.3,0.2,0,1.9,13.1,0,Very High
DJI001,1,2.3,0.7,0,1.9,55.3,0,Very High
DJI002,0.9,2,0.7,0,1.8,55.3,0,Very High
DJI003,1,2.3,0.7,0,1.9,55.3,0,Very High
DOM002,2.4,2.3,1.6,3.3,1.9,115.3,2,Medium
DZA002,1.2,2.5,1.2,0,2,90.2,0,High
DZA003,2.7,4.3,2.2,1.7,2.7,163.6,1,Medium
DZA004,1.7,3.5,1.6,0,2.4,119.1,0,High
ECU002,1.2,2,1.7,0,1.8,121.9,0,High
EGY004,1,2.5,0.4,0,2,31.8,0,Very High
ERI001,1.4,3,1.3,0,2.2,99.2,0,High
ESP002,1.1,2.5,0.9,0,2,68.6,0,High
EST002,0.8,2.3,0.2,0,1.9,13.1,0,Very High
ETH001,1.1,2.3,1,0,1.9,71.2,0,High
ETH003,2.2,2.8,2.1,1.7,2.1,152.1,1,Medium
ETH004,1.4,2.8,1.3,0,2.1,93.4,0,High
ETH005,1.4,2.5,1.8,0,2,128.4,0,High
GRC002,1.7,2.5,2.7,0,2,195.2,0,High
GTM001,1.1,2.8,0.5,0,2.1,36,0,High
HND001,1.3,3.5,0.5,0,2.4,35.5,0,High
HTI001,1.2,3,0.5,0,2.2,35.5,0,High
HUN002,0.8,2.3,0.1,0,1.9,11.5,0,Very High
IDN002,1.4,3.5,0.8,0,2.4,60.8,0,High
IRN004,3.3,4,2.6,3.3,2.6,190.7,2,Low
IRQ001,1.3,2,2,0,1.8,149.5,0,High
IRQ002,1.6,2.5,2.2,0,2,157.8,0,High
IRQ003,1.6,2,2.8,0,1.8,202.5,0,High
ITA002,1.1,2.3,0.9,0,1.9,68.6,0,High
JOR002,1.8,3.5,2,0,2.4,143,0,High
KEN001,1.3,3.5,0.3,0,2.4,23.7,0,High
KEN002,1.6,2,1.1,1.7,1.8,82.2,1,High
