,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1,2.3,0.7,0,1.9,54.1,0,Very High
AFG006,1.7,1.8,1.5,1.7,1.7,108.7,1,High
AGO002,0.7,0.8,1.3,0,1.3,98.3,0,Very High
ARM002,1.1,2.5,0.7,0,2,54.5,0,High
AZE002,2.7,3.8,2.5,1.7,2.5,184.7,1,Medium
BDI001,0.7,2,0.1,0,1.8,6.5,0,Very High
BEN002,0.6,0.3,1.4,0,1.1,102.8,0,Very High
BFA002,0.6,1,0.9,0,1.4,66.5,0,Very High
BGD001,0.4,1,0.1,0,1.4,5.5,0,Very High
BGD002,0.4,1,0.3,0,1.4,20.7,0,Very High
BGD012,0.5,1,0.6,0,1.4,41.7,0,Very High
BGD013,0.8,1.8,0.6,0,1.7,41.7,0,Very High
BGD014,0.7,2,0,0,1.8,1,0,Very High
BGR002,0.7,2,0.1,0,1.8,9.7,0,Very High
BLR002,0.8,2.3,0.1,0,1.9,9.7,0,Very High
BRA001,0.7,2,0,0,1.8,4.4,0,Very High
BRA002,0.8,2.5,0,0,2,4.4,0,Very High
BRA004,2.4,3.8,0,3.3,2.5,4.4,2,Medium
CAF001,0.8,1.8,0.7,0,1.7,50.1,0,Very High
CHL002,0.6,1.8,0,0,1.7,4.3,0,Very High
CMR001,0.8,1.8,0.5,0,1.7,37.1,0,Very High
CMR002,0.8,1.8,0.5,0,1.7,37.3,0,Very High
CMR003,0.8,1.8,0.5,0,1.7,37.4,0,Very High
CMR004,0.8,1.8,0.5,0,1.7,37.1,0,Very High
COD001,0.8,1.8,0.7,0,1.7,50.1,0,Very High
COG001,0.9,1.8,0.8,0,1.7,58.5,0,Very High
COL001,0.7,2,0.1,0,1.8,7.9,0,Very High
COL002,0.9,2.5,0.1,0,2,7.9,0,Very High
CRI002,1.9,3.5,2.3,0,2.4,168.1,0,High
CZE002,0.8,2.3,0.1,0,1.9,9.7,0,Very High
DJI001,1.1,2.3,0.9,0,1.9,65.8,0,High
DJI002,1,2,0.9,0,1.8,65.8,0,Very High
DJI003,1.1,2.3,0.9,0,1.9,65.8,0,High
DOM002,1.9,2.3,0,3.3,1.9,4.3,2,High
DZA002,1.5,3.5,1.1,0,2.4,78.2,0,High
DZA003,1.8,4.3,1.1,0,2.7,78.2,0,High
DZA004,1.7,3.8,1.2,0,2.5,85.9,0,High
ECU002,0.8,2.3,0,0,1.9,4.3,0,Very High
EGY004,1,2.5,0.6,0,2,42.2,0,Very High
ERI001,1.5,3.3,1.2,0,2.3,86.9,0,High
ESP002,1.2,2.5,1.1,0,2,77.5,0,High
EST002,0.8,2.3,0.1,0,1.9,9.7,0,Very High
ETH001,0.9,2.5,0.2,0,2,14.6,0,Very High
ETH003,1.9,3,1,1.7,2.2,73.5,1,High
ETH004,1.1,3,0.2,0,2.2,14.6,0,High
ETH005,1.2,2.5,1,0,2,73.5,0,High
GRC002,1,2.5,0.4,0,2,32.8,0,Very High
GTM001,1,2.8,0.1,0,2.1,7.9,0,Very High
HND001,1.3,3.8,0.1,0,2.5,7.9,0,High
HTI001,1,3,0.1,0,2.2,7.9,0,Very High
HUN002,0.8,2.3,0.1,0,1.9,9.7,0,Very High
IDN002,1.1,3,0.4,0,2.2,32.3,0,High
IRN004,2.6,4,0.5,3.3,2.6,37.6,2,Medium
IRQ001,0.8,2.3,0.1,0,1.9,4.8,0,Very High
IRQ002,0.8,2.5,0,0,2,4.2,0,Very High
IRQ003,0.8,2,0.4,0,1.8,29.2,0,Very High
ITA002,1.1,2.3,1.1,0,1.9,77.5,0,High
JOR002,1.3,3.8,0.1,0,2.5,4.8,0,High
KEN001,1.3,3.5,0.3,0,2.4,24.8,0,High
KEN002,1.3,2,0.1,1.7,1.8,6.7,1,High
KEN003,0.8,2.3,0.1,0,1.9,6.7,0,Very High
LBN002,0.8,2.3,0.1,0,1.9,6.2,0,Very High
LBN006,0.7,2,0.1,0,1.8,6.2,0,Very High
LBY001,1,2.3,0.6,0,1.9,42.6,0,Very High
LBY002,1.1,2,1.2,0,1.8,84.8,0,High
LBY003,0.8,1.8,0.6,0,1.7,42.7,0,Very High
LKA004,0.7,1.8,0.4,0,1.7,32.2,0,Very High
LTU002,0.8,2.3,0.1,0,1.9,9.7,0,Very High
LVA002,0.8,2.3,0.1,0,1.9,9.7,0,Very High
MAR001,1.4,3.8,0.5,0,2.5,36,0,High
MAR002,1.7,4,1.1,0,2.6,78.2,0,High
MAR003,1.2,3,0.5,0,2.2,36,0,High
MDA002,0.7,2,0.1,0,1.8,9.7,0,Very High
MDG001,0.8,2.3,0.1,0,1.9,11,0,Very High
MDG002,0.8,2.3,0.2,0,1.9,17.1,0,Very High
MDG009,0.9,2.3,0.3,0,1.9,23.2,0,Very High
MEX001,1.3,4,0,0,2.6,4.3,0,High
MEX002,1.3,3.8,0,0,2.5,4.3,0,High
MEX003,1.3,3.8,0,0,2.5,4.3,0,High
MLI001,0.3,0.3,0.6,0,1.1,43.1,0,Very High
MMR001,0.7,1.8,0.4,0,1.7,29.8,0,Very High
MMR002,0.7,1.8,0.4,0,1.7,29.8,0,Very High
MMR003,0.7,1.8,0.4,0,1.7,29.8,0,Very High
MMR004,0.7,1.8,0.4,0,1.7,29.8,0,Very High
MNG004,0.7,2,0.1,0,1.8,9.8,0,Very High
MOZ001,1.1,2.5,0.9,0,2,63.5,0,High
MOZ004,1.3,3,0.9,0,2.2,63.5,0,High
MOZ011,1.1,2.3,0.9,0,1.9,63.5,0,High
