,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ISO3,Physical exposure to earthquake MMI VI,Physical exposure to earthquake MMI VIII,Annual Expected Exposed People to Floods,Annual Expected Exposed People to Tsunamis,Annual Expected Exposed People to Cyclone's Wind SS1,Annual Expected Exposed People to Cyclone's Wind SS3,Annual Expected Exposed People to Cyclone Surge,Total affected by Drought,Frequency of Drought events,Agriculture Drought probability,GCRI Violent Conflict probability,GCRI Highly Violent Conflict probability,National Power Conflict Intensity (Highly Violent),Subnational Conflict Intensity (Highly Violent),Human Development Index,Multidimensional Poverty Index,Humanitarian Aid (FTS),Development Aid (ODA),Development Aid (ODA),Net ODA received (% of GNI),"Mortality rate, under-5",U5 Under weight,Physicians Density,One-year-olds fully immunized against measles,Incidence of Tuberculosis,Estimated number of people living with HIV - Adult (>15) rate,Health expenditure per capita,Maternal Mortality Rate,Malaria death rate,Gender Inequality Index,Income Gini coefficient,People affected by Natural Disasters,People affected by Natural Disasters,People affected by Natural Disasters,Internally displaced persons (IDPs),Refugees by country of asylum,Returned Refugees,Average Dietary Energy Supply Adequacy,Prevalence of Undernourishment,Domestic Food Price Level Index,Domestic Food Price Volatility Index,HFA Scores Last recent,Government Effectiveness,Corruption Perception Index,Access to electricity,Adult liteacy rate,Internet users,Mobile cellular subscriptions,Road lenght,Improved sanitation facilities (% of population with access),Improved water source (% of population with access),GDP per capita PPP int USD (Estimated),Total Population,Total Population (GHS-POP),Land area (sq. km),
Reference Year,,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2014,2016,2013,2014,2014,2015,2014,2014,2014,2014,2014,2014,2015,2012,2014,2013,2014,2015,2016,2016,2016,2015,2014,2014,2014,2014,2015,2014,2015,2012,2014,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Afghanistan,AFG,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2011,2016,2013,2014,2014,2015,2004,2013,2014,2014,2014,2014,2015,2012,2014,2007,2014,2015,2016,2015,2015,2015,2014,2014,x,x,2015,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Albania,ALB,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2009,2016,2013,2014,2014,2015,2009,2013,2014,2014,2013,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,2012,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Algeria,DZA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2012,2010,2014,2014,2014,2014,2015,2012,2014,x,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2006,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Angola,AGO,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2007,2009,2014,2014,2014,2014,2015,2012,x,2008,2014,2015,2016,x,2015,2015,2014,2014,2013,2013,2007,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Antigua and Barbuda,ATG,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,x,x,2014,2014,x,2014,2015,x,x,x,2014,2015,2016,x,2015,2015,2014,2014,2014,x,2009,2014,x,2012,2013,2014,2014,2014,2011,2015,2015,2015,2014,2014,
Argentina,ARG,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2005,2016,2013,2014,2014,2015,2005,2013,2014,2014,2014,2014,2015,x,2014,2013,2014,2015,2016,x,2015,2015,2014,2014,x,x,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,x,2015,2014,2014,
Armenia,ARM,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2010,2013,2014,2014,2014,2014,2015,x,2014,2013,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Australia,AUS,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,2007,2011,2014,2014,2013,2014,2015,x,2014,2010,2014,2015,2016,x,2015,2015,2014,2014,2014,x,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Austria,AUT,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2011,2014,2014,x,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Azerbaijan,AZE,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2006,2016,2013,2014,2014,2015,2013,2013,2014,2014,2014,2014,2015,2012,2014,2008,2014,2015,2016,2015,2015,2015,2014,2014,x,x,x,2014,2015,2012,2014,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Bahamas,BHS,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2008,2014,2014,2013,2014,2015,x,2014,x,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Bahrain,BHR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2012,2014,2014,x,2014,2015,x,2014,x,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2010,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Bangladesh,BGD,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2011,2016,2013,2014,2014,2015,2014,2011,2014,2014,2014,2014,2015,2012,2014,2010,2014,2015,2016,2015,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Barbados,BRB,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,x,2015,2013,2010,2014,2014,2013,2014,2015,x,2014,x,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Belarus,BLR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2005,2016,2013,2014,2014,2015,2005,2013,2014,2014,2014,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,x,x,2015,2014,2015,2012,2009,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Belgium,BEL,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,x,2013,2014,2014,x,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,x,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Belize,BLZ,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2011,2016,2013,2014,2014,2015,2011,2010,2014,2014,2014,2014,2015,2012,2014,x,2014,2015,2016,x,2015,2015,2014,2014,x,2012,x,2014,x,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Benin,BEN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2014,2010,2014,2014,2014,2014,2015,2012,2014,2011,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2006,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Bhutan,BTN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2010,2012,2014,2014,2013,2014,2015,2012,2014,2012,2014,2015,2016,x,x,2015,2014,2014,2014,2014,2015,2014,2015,2012,x,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Bolivia,BOL,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2008,2016,2013,2014,2014,2015,2008,2012,2014,2014,2014,2014,2015,2012,2014,2013,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2012,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Bosnia and Herzegovina,BIH,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2012,2016,2013,2014,2014,2015,2012,2013,2014,2014,x,2014,2015,x,2014,2007,2014,2015,2016,2015,2015,2015,2014,2014,x,2012,x,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Botswana,BWA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,2014,2015,2007,2010,2014,2014,2014,2014,2015,2012,2014,2009,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Brazil,BRA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2013,2016,2013,2014,2014,2015,2007,2013,2014,2014,2013,2014,2015,2012,2014,2013,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2011,2014,2015,2012,2013,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Brunei Darussalam,BRN,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,2009,2012,2014,2014,x,2014,2015,x,x,x,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2009,2014,2013,2012,2011,2014,2014,2014,x,x,2015,2015,2014,2014,
Bulgaria,BGR,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,x,2016,2013,2014,x,2015,2004,2012,2014,2014,x,2014,2015,x,2014,2012,2014,2015,2016,x,2015,2015,2014,2014,2014,2014,2015,2014,2015,2012,2011,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Burkina Faso,BFA,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2010,2010,2014,2014,2014,2014,2015,2012,2014,2009,2014,2015,2016,x,2016,2015,2014,2014,2014,2014,2015,2014,2015,2012,2007,2014,2014,2014,2015,2015,2015,2015,2014,2014,
Burundi,BDI,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2016,2016,2015,2015,2014,2010,2016,2013,2014,2014,2015,2010,x,2014,2014,2014,2014,2015,2012,2014,2006,2014,2015,2016,2015,2016,2015,2014,2014,2014,2014,2015,2014,2015,2012,2008,2014,2014,2014,2015,2015,2015,2015,2014,2014,
