CRISIS,CRISIS ID,COUNTRY,Iso3,Total sq.km.,Total population,Ethnic Fractionalisation Index,Empowerment Rights Index,size of excluded ethnic groups,BTI - Democracy Status,Gender Inequality Index,Income Gini coefficient,Conflict Intensity (HIIK),People killed in all crises,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World Index,CPI
,,,,Index,Index,%,Index,Index,Index,Index,Number,Index,Index,Index,Index,Number,sq. Km
Lake Chad basin regional crisis,REG001,"Nigeria, Niger, Chad, Cameroon","NGA, NER, TCD, CMR",3909380,21538000,0.8092625009250001,6.25,0.075,4.508333333324999,0.6381952533333334,39.825,4.25,2021,-0.9582950472749999,3.9375,32.5,25.75
Venezuela Regional Crisis,REG002,"Venezuela, Brazil, Colombia, Ecuador, Peru, Trinidad and Tobago, Chile, Dominican Republic, Panama","VEN, BRA, COL, ECU, PER, TTO, CHL, DOM, PAN",12748423,837127000,0.37539587784444445,10,0.2035888888888889,6.948148148144444,0.39423033085555553,45.900000000000006,2.111111111111111,4004,-0.38842570284444444,6.25,68.55555555555556,37
Syrian Regional Crisis,REG004,"Syria, Türkiye, Iraq, Egypt, Jordan, Lebanon","SYR, TUR, IRQ, EGY, JOR, LBN",2481862,388464000,0.5096342366,3.5,0.32666666666666666,3.966666666683333,0.44548120716666667,34.31666666666667,3.8333333333333335,2859,-0.8694431111166668,3.4583333333333335,27.5,30.5
Eastern Mediterranean Route ,REG006,"Türkiye, Greece","TUR, GRC",898530,95407000,0.2414492393,8,0.18350000000000002,4.9166666667,0.2136633259,37.4,3.5,10,-0.04206264765000001,3.5,60,43.5
Central Mediterranean Route,REG007,"Algeria, Tunisia, Libya, Italy","DZA, TUN, LBY, ITA",4592358,124432000,0.210782986625,5.75,0.068875,4.566666666666666,0.2460642436,32.1,2,868,-0.580277027575,4.166666666666667,50.5,37.25
Western Mediterranean Route,REG008,"Algeria, Morocco, Spain","DZA, MAR, ESP",3327774.2,131858000,0.46699264916666666,6.333333333333333,0.324,4.19166666665,0.33649607749999993,33.93333333333334,2,219,0.009313091633333334,3.75,54.333333333333336,46
Rohingya Regional Crisis,REG011,"Bangladesh, Myanmar","BGD, MMR",782840,226768000,0.35558001200000006,3.5,0.2125,3.85833333335,0.49717238359999993,31.549999999999997,4,8688,-0.84954610465,3.125,34.5,27.5
Southern Africa Regional Food Security Crisis,REG012,"Lesotho, Madagascar, Malawi, Namibia, Eswatini, Zambia, Zimbabwe, Tanzania","LSO, MDG, MWI, NAM, SWZ, ZMB, ZWE, TZA",3562970,163442000,0.4332148747125,7.25,0.023875,5.55625,0.5433798308714286,49.225,0.875,3248,-0.5261807292875,4.5625,50.625,34.5
Nagorno-Karabakh Conflict,REG013,"Armenia, Azerbaijan","ARM, AZE",111120,13106000,0.0971256067,5,0.0365,5.26666666665,0.28972985065,28.25,3,562,-0.35427304355,4.5,31.5,36
Eastern Africa Regional Drought Crisis,REG014,"Ethiopia, Somalia, Kenya","ETH, SOM, KEN",2325051.3,204902000,0.5373860179333333,3.5,0.1178,3.4444444444333335,0.52623597955,37.53333333333333,5,7179,-1.0927180548666666,3.25,26.333333333333332,24.666666666666668
Turkiye / Syria earthquake,REG015,"Türkiye, Syria","TUR, SYR",953260,107143000,0.47417823485,4,0.595,3.35833333335,0.42590098114999997,39.7,4.5,0,-1.1795133203000001,2.5,16,26
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
