id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_start_date,event_end_date,category,subcategory,type,subtype,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
154233.5108225108,#country+name,#country+iso3,,,Unknown,Unknown,#event+displacement_type,#total,#affected+displaced,Unknown,Unknown,Unknown,#date+year,22053.651515151516,#event+name,Unknown,Unknown,Unknown,Unknown,#event+type,#event+subtype,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,#date+created,#description,#meta+url,#cause
162838.0,Ukraine,UKR,50.39336,35.824749,"[50.39336, 35.824749]",Recommended figure,Conflict,total,3,2024-09-26 00:00:00,2024-09-26 00:00:00,2024-09-26 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/vnaslidok-obstrilu-distav-poranennia-zhytel-sela-ivashky-poshkodzheno-tsyvilnu-infrastrukturu-politsiia-zadokumentuvala-voiennyi-zlochyn-rf,"Ivashky, Zolochiv Raion, Kharkiv Oblast, Ukraine","50.39336, 35.824749",County/City/town/Village/Woreda (ADM3),Origin,Unknown,2024-09-26T14:45:04.177509Z,"Ukraine: 3 displacements (destroyed housing), 26 September - 26 September. According to the National Police, a house was destroyed in Ivashky (Kharkiv Oblast) on September 26 due to military operations.",https://www.npu.gov.ua/news/vnaslidok-obstrilu-distav-poranennia-zhytel-sela-ivashky-poshkodzheno-tsyvilnu-infrastrukturu-politsiia-zadokumentuvala-voiennyi-zlochyn-rf,Conflict
162811.0,Ukraine,UKR,47.96067,37.834438,"[47.96067, 37.834438]",Recommended figure,Conflict,total,1504,2024-09-26 00:00:00,2024-09-26 00:00:00,2024-09-26 00:00:00,2024,22790.0,Ukraine: International armed conflict (IAC) - Donetsk - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/chetvero-liudei-zahynuly-19-zaznaly-poranen-politsiia-zadokumentuvala-naslidky-rosiiskykh-obstriliv-donechchyny,"Donetsk Oblast, Ukraine","47.96067, 37.834438",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2024-09-26T13:56:41.063530Z,"Ukraine: 1,504 displacements (evacuated), 26 September - 26 September. According to the National Police of Ukraine, 1504 people have been evacuated in Donetsk Oblast on 26 September due to military operations.",https://www.npu.gov.ua/news/chetvero-liudei-zahynuly-19-zaznaly-poranen-politsiia-zadokumentuvala-naslidky-rosiiskykh-obstriliv-donechchyny,Conflict
162831.0,Ukraine,UKR,47.85334,35.186378,"[47.85334, 35.186378]",Recommended figure,Conflict,total,18,2024-09-26 00:00:00,2024-09-26 00:00:00,2024-09-26 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,State Emergency Service of Ukraine (SESU),https://t.me/dsns_telegram/33051,"Zaporizhzhia, Zaporizhia Municipality, Zaporizhia Oblast, Ukraine","47.85334, 35.186378",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2024-09-26T14:31:42.405913Z,"Ukraine: 18 displacements (evacuated), 26 September - 26 September. According to the State Emergency Service of Ukraine (SESU), 18 people were evacuated in Zaporizhzhia on September 26 due to military operations.",https://t.me/dsns_telegram/33051,Conflict
162814.0,Ukraine,UKR,46.650871,32.602299,"[46.650871, 32.602299]",Recommended figure,Conflict,more than or equal to,5,2024-09-25 00:00:00,2024-09-25 00:00:00,2024-09-25 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/dvi-liudyny-zahynulo-i-15-poraneno-sered-postrazhdalykh-politseiskyi-politsiia-khersonshchyny-fiksuie-naslidky-masovanoi-ataky,"Kherson, Херсонська міська рада, Kherson Oblast, Ukraine","46.650871, 32.602299",County/City/town/Village/Woreda (ADM3),Origin,Unknown,2024-09-26T14:13:52.623747Z,"Ukraine: 5 displacements (destroyed housing), 25 September - 25 September. According to the National Police of Ukraine, residential buildings were destroyed in Kherson on September 25 due to military operations.",https://www.npu.gov.ua/news/dvi-liudyny-zahynulo-i-15-poraneno-sered-postrazhdalykh-politseiskyi-politsiia-khersonshchyny-fiksuie-naslidky-masovanoi-ataky,Conflict
162810.0,Ukraine,UKR,47.96067,37.834438,"[47.96067, 37.834438]",Recommended figure,Conflict,total,1680,2024-09-25 00:00:00,2024-09-25 00:00:00,2024-09-25 00:00:00,2024,22790.0,Ukraine: International armed conflict (IAC) - Donetsk - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/vnaslidok-rosiiskoho-obstrilu-donechchyny-troie-liudei-zahynuly-ta-shche-piatero-otrymaly-poranennia-sered-nykh-politseiskyi-pravookhorontsi-zadokumetuvaly-naslidky,"Donetsk Oblast, Ukraine","47.96067, 37.834438",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2024-09-26T13:54:34.942461Z,"Ukraine: 1,680 displacements (evacuated), 25 September - 25 September. According to the National Police of Ukraine, 1680 people have been evacuated in Donetsk Oblast on 25 September due to military operations.",https://www.npu.gov.ua/news/vnaslidok-rosiiskoho-obstrilu-donechchyny-troie-liudei-zahynuly-ta-shche-piatero-otrymaly-poranennia-sered-nykh-politseiskyi-pravookhorontsi-zadokumetuvaly-naslidky,Conflict
162837.0,Ukraine,UKR,49.741331,37.303282,"[49.741331, 37.303281999999996]",Recommended figure,Conflict,total,13,2024-09-25 00:00:00,2024-09-25 00:00:00,2024-09-25 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/mynuloi-doby-rosiiany-byly-po-kharkivshchyni-z-artylerii-rszv-droniv-slidchi-zadokumentuvaly-naslidky-voiennykh-zlochyniv,"Chuhuiv Raion, Kharkiv Oblast, Ukraine; Kupiansk Raion, Kharkiv Oblast, Ukraine","49.807861, 36.772362; 49.674801, 37.834202",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Origin,Displacement without preventive evacuations reported,2024-09-26T14:42:59.599032Z,"Ukraine: 13 displacements (evacuated), 25 September - 25 September. According to the National Police of Ukraine, 13 people were evacuated from Kupiansk and Chuhuiv Raion on September 25 due to military operations.",https://www.npu.gov.ua/news/mynuloi-doby-rosiiany-byly-po-kharkivshchyni-z-artylerii-rszv-droniv-slidchi-zadokumentuvaly-naslidky-voiennykh-zlochyniv,Conflict
162836.0,Ukraine,UKR,49.741331,37.303282,"[49.741331, 37.303281999999996]",Recommended figure,Conflict,total,14,2024-09-24 00:00:00,2024-09-24 00:00:00,2024-09-24 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/na-kharkivshchyni-mynuloi-doby-cherez-rosiiski-udary-piat-tsyvilnykh-hromadian-zahynuly-39-distaly-poranennia-slidchi-zadokumentuvaly-voienni-zlochyny,"Chuhuiv Raion, Kharkiv Oblast, Ukraine; Kupiansk Raion, Kharkiv Oblast, Ukraine","49.807861, 36.772362; 49.674801, 37.834202",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Origin,Displacement without preventive evacuations reported,2024-09-26T14:41:10.823684Z,"Ukraine: 14 displacements (evacuated), 24 September - 24 September. According to the National Police of Ukraine, 14 people were evacuated from Kupiansk and Chuhuiv Raion on September 24 due to military operations.",https://www.npu.gov.ua/news/na-kharkivshchyni-mynuloi-doby-cherez-rosiiski-udary-piat-tsyvilnykh-hromadian-zahynuly-39-distaly-poranennia-slidchi-zadokumentuvaly-voienni-zlochyny,Conflict
162828.0,Ukraine,UKR,47.85334,35.186378,"[47.85334, 35.186378]",Recommended figure,Conflict,more than or equal to,5,2024-09-24 00:00:00,2024-09-24 00:00:00,2024-09-24 00:00:00,2024,20827.0,Ukraine: International armed conflict (IAC)  - Countrywide - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/u-zaporizhzhi-vnaslidok-cherhovoi-vorozhoi-ataky-poraneno-semero-tsyvilnykh-hromadian-politsiia-dokumentuie-naslidky-vluchan,"Zaporizhzhia, Zaporizhia Municipality, Zaporizhia Oblast, Ukraine","47.85334, 35.186378",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2024-09-26T14:21:39.859964Z,"Ukraine: 5 displacements (evacuated), 24 September - 24 September. According to the National Police, residential buildings were destroyed in Zaporizhzhia on September 24 due to military operations.",https://www.npu.gov.ua/news/u-zaporizhzhi-vnaslidok-cherhovoi-vorozhoi-ataky-poraneno-semero-tsyvilnykh-hromadian-politsiia-dokumentuie-naslidky-vluchan,Conflict
162799.0,Ukraine,UKR,47.96067,37.834438,"[47.96067, 37.834438]",Recommended figure,Conflict,total,2312,2024-09-24 00:00:00,2024-09-24 00:00:00,2024-09-24 00:00:00,2024,22790.0,Ukraine: International armed conflict (IAC) - Donetsk - 2024,2024-01-01 00:00:00,2024-12-31 00:00:00,Unknown,Unknown,Unknown,Unknown,National Police of Ukraine,https://www.npu.gov.ua/news/dvoie-zhyteliv-donechchyny-zahynuly-ta-18-zaznaly-poranen-cherez-rosiiski-obstrily-politsiia-zadokumentuvala-naslidky,"Donetsk Oblast, Ukraine","47.96067, 37.834438",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2024-09-26T13:51:36.760482Z,"Ukraine: 2,312 displacements (evacuated), 24 September - 24 September. According to the National Police of Ukraine, 2312 people have been evacuated in Donetsk Oblast on 24 September due to military operations.",https://www.npu.gov.ua/news/dvoie-zhyteliv-donechchyny-zahynuly-ta-18-zaznaly-poranen-cherez-rosiiski-obstrily-politsiia-zadokumentuvala-naslidky,Conflict
