iter	RMSE
0	1.587087939
1	1.541664724
2	1.497203464
3	1.454329871
4	1.412173486
5	1.371706164
6	1.333276099
7	1.295267098
8	1.258036547
9	1.222844493
10	1.187938849
11	1.154171133
12	1.121356126
13	1.090021503
14	1.059220451
15	1.029255681
16	1.000255736
17	0.9723268588
18	0.9454969995
19	0.9188765069
20	0.8928211753
21	0.8672554528
22	0.8430274622
23	0.8195743736
24	0.7968564259
25	0.7751605863
26	0.7536970205
27	0.7328994531
28	0.7118697819
29	0.6926130934
30	0.6733378412
31	0.6538473825
32	0.6353648876
33	0.6173388357
34	0.6000386671
35	0.5834159142
36	0.5671558621
37	0.5517066988
38	0.5361156107
39	0.5217868755
40	0.5072536596
41	0.4932477323
42	0.479390686
43	0.4660157076
44	0.453069156
45	0.4405966017
46	0.4282344606
47	0.4165539028
48	0.4048911682
49	0.393674306
50	0.3832096344
51	0.3729991399
52	0.3629210944
53	0.3532464506
54	0.3435019622
55	0.3340977536
56	0.3251248153
57	0.316301007
58	0.3077826747
59	0.299771285
60	0.2917672874
61	0.2838278984
62	0.2761352507
63	0.2687863897
64	0.2617428026
65	0.2548714282
66	0.248052022
67	0.2415778718
68	0.2352311643
69	0.2291789066
70	0.2232940386
71	0.2176751214
72	0.2122296786
73	0.2067788489
74	0.2015012594
75	0.1963561595
76	0.1913843474
77	0.1866824308
78	0.1820441856
79	0.1774768506
80	0.1728923833
81	0.1685284181
82	0.164349166
83	0.1603438607
84	0.1565813667
85	0.1527734659
86	0.1491510916
87	0.145736669
88	0.142158737
89	0.1387982504
90	0.135725227
91	0.1324375661
92	0.1294540568
93	0.1264411976
94	0.1236061504
95	0.120698919
96	0.1179107165
97	0.1153581574
98	0.1128567255
99	0.1102927195
100	0.1078874374
101	0.1056383554
102	0.103420331
103	0.1013516229
104	0.09928360311
105	0.09722413473
106	0.09516341806
107	0.09319402383
108	0.09134429815
109	0.08952262496
110	0.0877989713
111	0.08608440255
112	0.0844890291
113	0.08287001077
