iter	Passed	Remaining
0	63	63352
1	78	38928
2	91	30267
3	103	25837
4	116	23197
5	129	21415
6	142	20157
7	154	19172
8	166	18376
9	179	17777
10	195	17551
11	202	16653
12	214	16296
13	226	15978
14	240	15775
15	252	15528
16	264	15321
17	277	15119
18	289	14961
19	302	14821
20	315	14713
21	327	14561
22	340	14459
23	353	14374
24	365	14270
25	378	14181
26	390	14088
27	402	13984
28	414	13890
29	427	13819
30	439	13748
31	451	13668
32	464	13601
33	476	13535
34	488	13471
35	500	13406
36	513	13354
37	525	13314
38	538	13265
39	550	13202
40	562	13147
41	574	13092
42	586	13048
43	598	13000
44	610	12960
45	623	12926
46	636	12896
47	648	12859
48	660	12821
49	672	12786
50	685	12749
51	697	12720
52	709	12681
53	721	12644
54	734	12622
55	746	12585
56	759	12558
57	771	12533
58	784	12510
59	796	12474
60	808	12447
61	821	12424
62	833	12397
63	845	12371
64	858	12345
65	871	12331
66	883	12305
67	895	12279
68	907	12242
69	919	12217
70	931	12187
71	943	12157
72	955	12129
73	967	12104
74	979	12082
75	992	12062
76	1004	12045
77	1016	12020
78	1028	11994
79	1041	11975
80	1053	11949
81	1065	11925
82	1080	11934
83	1092	11912
84	1105	11897
85	1116	11869
86	1129	11852
87	1142	11841
88	1154	11814
89	1165	11789
90	1177	11766
91	1192	11774
92	1204	11744
93	1215	11717
94	1229	11710
95	1241	11687
96	1254	11676
97	1267	11664
98	1279	11647
99	1292	11631
100	1305	11620
101	1317	11598
102	1328	11572
103	1340	11552
104	1352	11527
105	1365	11515
106	1376	11488
107	1388	11468
108	1399	11444
109	1411	11418
110	1423	11397
111	1435	11384
112	1447	11361
113	1459	11340
114	1471	11321
115	1482	11296
116	1493	11273
117	1505	11254
118	1517	11235
119	1529	11219
120	1540	11193
121	1552	11172
122	1564	11152
123	1576	11134
124	1587	11109
125	1599	11093
126	1610	11073
127	1623	11063
128	1636	11046
129	1649	11040
130	1660	11017
131	1672	10996
132	1684	10982
133	1695	10957
134	1708	10946
135	1720	10932
136	1734	10924
137	1746	10909
138	1759	10895
139	1771	10882
140	1784	10868
141	1796	10854
142	1807	10833
143	1819	10814
144	1831	10797
145	1842	10779
146	1854	10759
147	1866	10744
148	1877	10725
149	1890	10715
150	1903	10700
151	1915	10684
152	1927	10668
153	1939	10655
154	1951	10640
155	1963	10625
156	1977	10616
157	1989	10603
158	2001	10586
159	2014	10573
160	2026	10562
161	2038	10546
162	2051	10534
163	2062	10514
164	2076	10510
165	2088	10495
166	2100	10475
167	2111	10459
168	2123	10442
169	2134	10423
170	2146	10407
171	2158	10389
172	2174	10396
173	2187	10384
174	2200	10372
175	2213	10363
176	2225	10346
177	2236	10328
178	2250	10321
179	2262	10306
180	2273	10288
181	2285	10273
182	2297	10257
183	2309	10242
184	2321	10228
185	2332	10209
186	2344	10194
187	2357	10183
188	2369	10167
189	2381	10153
190	2394	10141
191	2405	10123
192	2416	10104
193	2428	10091
194	2441	10079
195	2454	10069
196	2466	10054
197	2478	10038
198	2490	10024
199	2503	10013
200	2514	9996
201	2527	9983
202	2539	9970
203	2551	9957
204	2563	9942
205	2574	9924
206	2587	9913
207	2599	9899
208	2611	9885
209	2624	9874
210	2636	9860
211	2649	9849
212	2663	9841
213	2675	9827
214	2688	9817
215	2700	9802
216	2712	9787
217	2723	9769
218	2736	9759
219	2748	9745
220	2760	9728
221	2772	9716
222	2784	9701
223	2795	9684
224	2807	9671
225	2820	9659
226	2832	9645
227	2845	9633
228	2856	9617
229	2867	9600
230	2880	9590
231	2892	9576
232	2904	9561
233	2916	9546
234	2929	9535
235	2941	9522
236	2954	9510
237	2965	9494
238	2978	9484
239	2989	9467
240	3002	9455
241	3013	9440
242	3026	9429
243	3040	9419
244	3052	9407
245	3064	9392
246	3079	9388
247	3092	9377
248	3106	9368
249	3118	9354
250	3130	9342
251	3142	9327
252	3154	9312
253	3167	9304
254	3181	9293
255	3193	9279
256	3206	9270
257	3218	9255
258	3230	9241
259	3243	9230
260	3255	9218
261	3268	9207
262	3280	9192
263	3291	9177
264	3304	9164
265	3315	9149
266	3327	9134
267	3340	9123
